epoch,f1_score,loss,val_f1_score,val_loss
0,0.32609606969113253,0.8269148996898106,0.21948740652629306,3.8609839666457404
1,0.3339279224677962,0.7216881910148932,0.217986161226318,7.311834339868454
2,0.36716792437495016,0.6816226358316383,0.20714850468294962,8.107676233564105
3,0.3886732030887993,0.6526198092772036,0.2666085782505217,3.0400831744784402
4,0.4301336183839915,0.6244108781522634,0.2843478446915036,0.6070110179129101
5,0.45057763895209957,0.5948833939980488,0.30732187373297554,0.5403129549253555
6,0.4751183478199706,0.5605388930865697,0.3477962718123481,0.6022734602292379
7,0.5159779130196085,0.5200185055635413,0.3696807901064555,0.5428950451669239
8,0.5095650405299906,0.4787197004775612,0.3627712743622916,0.5884958255858649
9,0.5430328060169609,0.4298052079823552,0.3697635957172939,0.4852073379925319
10,0.5673953696173064,0.3802192697719652,0.3659188917704991,0.4060387154420217
11,0.5868058927205144,0.3338088134113623,0.3589770146778652,0.3716445769582476
12,0.6117282952581133,0.29279309547677335,0.31202122200103033,0.35942637494632174
13,0.6228127117059669,0.25883670564816924,0.293048388901211,0.3382682096390497
14,0.6460088360066316,0.23035357947252236,0.32540721268880934,0.3244446200983865
15,0.6405345797538757,0.20837934108412995,0.41644223162106103,0.28955722593125843
16,0.6764379126685006,0.1867221420516773,0.43337711152576264,0.27949690960702445
17,0.6899425759607432,0.17179528377494033,0.4214828528109051,0.2447878225928261
18,0.7193621078316046,0.1550142984001004,0.3981531199954805,0.2577737243402572
19,0.7360350234167916,0.14014404391755864,0.3944140899749029,0.29807995415869215
20,0.7526854994345684,0.13217888535285482,0.43513318271864027,0.28398132749966215
21,0.7678197629597723,0.12059241144024596,0.4746310634272439,0.24352041028794788
22,0.7893019133684587,0.11364037269840435,0.48021487423351833,0.2357986528249014
23,0.7989691515358127,0.10553860564012917,0.4498862550372169,0.23924409931614285
24,0.8207427372737807,0.09788293844583083,0.4796828357946305,0.2677890448343186
25,0.8436523532380863,0.08757783968229683,0.496507804166703,0.2501351738259906
26,0.8503065240626433,0.08485197461381251,0.41351364311717803,0.25712118120420546
27,0.8563841199388309,0.07911145072810503,0.5152070630164374,0.20360675752162932
28,0.8675363959098349,0.07248814835840342,0.5580875828152612,0.22862718531063625
29,0.880159714027327,0.06864390920619576,0.4608907617273785,0.24656795007841928
30,0.8939183120824853,0.06248178719257822,0.4874693243276505,0.23139117118858155
31,0.909842633471197,0.0556932123796064,0.4767040755067553,0.18278707989624568
